iter	MAE	RMSE
0	2.545591419	3.154914047
1	2.494393997	3.084569217
2	2.442848171	3.018576379
3	2.393805579	2.959487526
4	2.337419921	2.898984776
5	2.279780447	2.836267084
6	2.238462603	2.784447335
7	2.190200459	2.727671611
8	2.1407414	2.669228446
9	2.095505912	2.614466267
10	2.050208665	2.559977635
11	2.005825563	2.506605166
12	1.965439129	2.452121643
13	1.921430737	2.398838131
14	1.885868214	2.353181833
15	1.844458494	2.300185769
16	1.802398186	2.254368385
17	1.766606512	2.207761795
18	1.726972327	2.162813829
19	1.688194785	2.119333443
20	1.649556783	2.074197176
21	1.612426179	2.029417711
22	1.578927346	1.989799825
23	1.547971105	1.952859536
24	1.524892916	1.920286132
25	1.494442977	1.883308662
26	1.462950721	1.845989176
27	1.431213048	1.807613955
28	1.401834409	1.773389204
29	1.372676791	1.742058493
30	1.348277312	1.710405219
31	1.317463394	1.674510948
32	1.287644514	1.638979553
33	1.263485381	1.610332447
34	1.242167753	1.583900926
35	1.215637258	1.553107714
36	1.190334601	1.524631039
37	1.166229535	1.497357553
38	1.143162055	1.472514856
39	1.118469638	1.445182011
40	1.09757318	1.420567654
41	1.079466132	1.395080547
42	1.056932041	1.36845035
43	1.036377662	1.340953215
44	1.016011504	1.316132169
45	0.9971014211	1.294028572
46	0.9759165427	1.269972273
47	0.9577463294	1.246554247
48	0.9375869114	1.221803772
49	0.9178084201	1.19807626
50	0.900340692	1.174642358
51	0.883643171	1.154180421
52	0.8670539313	1.134940493
53	0.8498004742	1.113958501
54	0.8300128528	1.090954065
55	0.8129442207	1.070841342
56	0.7959380026	1.051309041
57	0.780668499	1.032871288
58	0.7667938313	1.016662782
59	0.7504456484	0.9969857633
60	0.7362184086	0.9786019949
61	0.7222394061	0.9632056558
62	0.7075768374	0.947738935
63	0.6932716814	0.9321781849
64	0.67933732	0.9189124559
65	0.6646692666	0.9018339521
66	0.6510445367	0.886357513
67	0.6406063837	0.8713072722
68	0.6281912749	0.8561650455
69	0.6192196223	0.8448834187
70	0.6082422785	0.8321429716
71	0.597505752	0.8202531715
72	0.5872090191	0.8066641918
73	0.5764750652	0.7936933954
74	0.5675307799	0.7828663258
75	0.5570406649	0.7709010734
76	0.5466702657	0.7577526223
77	0.5371477337	0.7466163127
78	0.5268621501	0.7354391095
79	0.5178826959	0.7258089575
80	0.5092326901	0.7159100615
81	0.5005681227	0.7063085999
82	0.4931373	0.696607099
83	0.4855254734	0.686542239
84	0.4785212559	0.6776124555
85	0.4702751902	0.6680377528
86	0.4630335229	0.6585456279
87	0.4564592722	0.6504448991
88	0.4492910079	0.6410425976
89	0.4424321657	0.6317960229
90	0.435770112	0.622342589
91	0.4298795921	0.6147361177
92	0.4232532494	0.6069289225
93	0.4175688416	0.6000032267
94	0.4117477945	0.5926361238
95	0.406216942	0.584977361
96	0.4007994202	0.577560888
97	0.3960496787	0.5711080855
98	0.3909640683	0.5640820771
99	0.3883765	0.5590378512
100	0.3836341003	0.5524303323
101	0.3786868055	0.5446747941
102	0.3745804032	0.5385285025
103	0.3697771501	0.5316843509
104	0.3655611444	0.52651159
105	0.3616917515	0.5213767962
106	0.3571707444	0.5161142775
107	0.3528293296	0.5106929718
108	0.3499636265	0.5064235494
109	0.346048396	0.5007343598
110	0.3423167037	0.4956937688
111	0.3388664257	0.4906856886
112	0.3355832834	0.4860686665
113	0.3317013401	0.4809954693
114	0.328254439	0.4769795364
115	0.3253244415	0.472882947
116	0.3218784518	0.4680083031
117	0.3189891392	0.463685232
118	0.315261435	0.4587971335
119	0.312113813	0.4544362638
120	0.3090370905	0.4503165725
121	0.3045434744	0.4442948351
122	0.30209436	0.4413013172
123	0.2989972358	0.4366544477
124	0.2966340469	0.4320790714
125	0.2963195371	0.4310757561
126	0.2937070335	0.4277273442
127	0.2920184944	0.4258294917
128	0.2896797558	0.4224210375
129	0.2873799425	0.4192456905
130	0.2854039275	0.4160558517
131	0.2831765698	0.4125728299
132	0.2811279121	0.4096823655
133	0.2792439515	0.4068511423
134	0.2774110823	0.404128873
135	0.2759270212	0.4015508138
136	0.2734002045	0.3985844459
137	0.2718276047	0.3963568839
138	0.2701901347	0.3942022691
139	0.268258176	0.391539895
140	0.2660852306	0.3889488337
141	0.2645368324	0.386350458
142	0.262721456	0.3837190114
143	0.2614221417	0.3811856318
144	0.2603778251	0.3795644813
145	0.2582626617	0.3768590005
146	0.2563090044	0.374002082
147	0.2548210709	0.3711788988
148	0.2532991149	0.3690832061
149	0.2516782755	0.3667708143
150	0.2498865427	0.3641011121
151	0.2480244202	0.3612893286
152	0.2465831103	0.3589393197
153	0.2451379666	0.3564274736
154	0.2434406202	0.354331094
155	0.2419560806	0.3517465541
156	0.2408005946	0.3496484637
157	0.2398020175	0.3478249647
158	0.2385451258	0.3458645822
159	0.2375070706	0.3443643144
160	0.2363693368	0.3426093549
161	0.2353458376	0.3408095344
162	0.233544068	0.3382240405
163	0.2322153667	0.3360572691
164	0.2307608715	0.333511121
165	0.230036604	0.3324730012
166	0.2293220109	0.3313885935
167	0.2280670868	0.3292330146
168	0.2267835329	0.3275397931
169	0.2259977149	0.3261149431
170	0.2250270303	0.324634414
171	0.2237371539	0.3230188169
172	0.2223791248	0.3213554155
173	0.2213723173	0.319867288
174	0.2200470661	0.3180167613
175	0.2188637244	0.316371852
176	0.21807526	0.3150206152
177	0.2172399021	0.3135954043
178	0.2166675309	0.3122920501
179	0.2162724713	0.311408947
180	0.2152780578	0.3095385179
181	0.213794063	0.307427841
182	0.2131472652	0.3064195326
183	0.2120333572	0.3048972395
184	0.210756291	0.3035500065
185	0.2105152958	0.3030145658
186	0.2096145627	0.3017604319
187	0.2088620517	0.30043755
188	0.2081259356	0.2989643436
189	0.2065485983	0.296614107
