iter	Passed	Remaining
0	154	154517
1	172	86269
2	196	65392
3	213	53163
4	229	45709
5	246	40834
6	261	37166
7	277	34378
8	294	32428
9	309	30671
10	321	28870
11	332	27416
12	353	26838
13	370	26098
14	387	25435
15	403	24837
16	413	23934
17	428	23375
18	444	22943
19	460	22545
20	475	22170
21	492	21901
22	507	21559
23	522	21260
24	542	21145
25	560	21011
26	580	20921
27	598	20780
28	613	20557
29	629	20364
30	645	20186
31	661	20011
32	677	19846
33	692	19685
34	709	19570
35	728	19506
36	747	19465
37	765	19379
38	771	19008
39	787	18894
40	800	18729
41	808	18446
42	824	18360
43	833	18109
44	849	18018
45	865	17947
46	882	17889
47	901	17889
48	911	17697
49	929	17662
50	940	17498
51	956	17443
52	977	17458
53	999	17515
54	1023	17578
55	1041	17560
56	1063	17591
57	1081	17566
58	1101	17565
59	1120	17557
60	1134	17464
61	1149	17390
62	1169	17394
63	1188	17387
64	1200	17270
65	1218	17246
66	1234	17189
67	1252	17169
68	1270	17139
69	1288	17116
70	1308	17119
71	1320	17021
72	1334	16949
73	1345	16841
74	1357	16741
75	1372	16683
76	1388	16639
77	1404	16605
78	1421	16576
79	1435	16510
80	1451	16473
81	1467	16430
82	1483	16389
83	1499	16349
84	1515	16312
85	1524	16204
86	1543	16193
87	1561	16185
88	1578	16153
89	1594	16123
90	1607	16054
91	1622	16011
92	1634	15942
93	1649	15901
94	1665	15863
95	1682	15840
96	1695	15783
97	1706	15704
98	1719	15648
99	1724	15523
100	1739	15481
101	1757	15469
102	1779	15495
103	1794	15462
104	1811	15441
105	1828	15421
106	1836	15328
107	1848	15271
108	1865	15246
109	1881	15222
110	1897	15194
111	1907	15125
112	1922	15093
113	1943	15101
114	1961	15092
115	1977	15073
116	1994	15050
117	2010	15028
118	2026	15005
119	2042	14979
120	2059	14957
121	2074	14932
122	2094	14933
123	2111	14914
124	2126	14888
125	2132	14791
126	2147	14763
127	2163	14737
128	2179	14716
129	2192	14675
130	2208	14651
131	2224	14627
132	2240	14603
133	2256	14580
134	2271	14557
135	2284	14515
136	2300	14489
137	2315	14465
138	2334	14458
139	2351	14445
140	2368	14428
141	2387	14424
142	2404	14411
143	2420	14391
144	2437	14371
145	2453	14352
146	2470	14335
147	2488	14324
148	2504	14306
149	2520	14283
150	2536	14261
151	2552	14238
152	2565	14202
153	2580	14178
154	2596	14155
155	2612	14135
156	2628	14113
157	2643	14089
158	2659	14069
159	2665	13995
160	2681	13972
